1079547350,282580185,永彬RyanB,在这快速又浮躁的现代城市里 往往有很多爱情最后结束是没有任何原因 没有理由的🏙,23.6万,2018年4月9日
1079968501,33508464,srg-,曾经以为在一起不需要任何理由，后来发现实在没有理由再在一起。,18.4万,2018年4月9日
1080981373,470700743,w3-1c,理由是在喜欢之后才产生的,85117,2018年4月10日
1239406859,614141240,夜深路无风,没有理由，没有善始善终，没有等待也没有期盼，你我之间不谈亏欠，离开那天日常相拥下线，伤心绘成曲线，首尾相接这个句号满是欺骗,62965,2018年9月7日
1079574125,483497420,祝己年少有为,我以为你会回来！我以为我会去找你 ！我以为我跟你会有未来 ！我以为我跟你一直走下去 ，可现在我没有理由没有资格去继续爱你、再也没有理由去等你 Baby I’m sorry I’m so lonely !!!!祝你幸福。 早安 ,48979,2018年4月9日
1079559319,308259724,阿龙阿龙直捣黄龙,我有一百个见你的理由，却少一个见你的身份,36625,2018年4月9日
1080730694,395369689,Hqyyy深海,他们说两个人在一起久了会互相厌烦 我倒是很想和你在一起 让我知道烦透了你是什么感觉 然而 然而,34153,2018年4月10日
1079674552,304641565,灵魂超市收破旧灵魂没人要的灵魂,进一步没资格 退一步舍不得没有身份过问你的生活吃个醋还名不正言不顺我们就这样了吧,33198,2018年4月9日
1079551960,275497944,周延英-英子effie,感谢永彬Ryan.B，感谢独壹不贰，感谢所有幕后团队，感谢读懂这音乐的你们，赶紧分享，《没有理由》，就是好听！ 🤘🏻🎤❤️,29733,2018年4月9日
1079675043,133220128,W1AlThy_T,爱情，再多理由，没有办法挽留。爱情，再多理由，也会说停就停。 不去等待，只是没了继续等待的理由不想离开，只是没有了不离开的理由 ————————————————#🔥永彬Ryan.B 🔥没有理由不喜欢##🔥 独 壹 不 贰 🔥没有理由不支持#,18800,2018年4月9日
1079574175,478037327,牙齒動物,對不起 我要掌控七情六慾 而不是被掌控,16588,2018年4月9日
1079618815,355491181,赵大雄_,总觉得经过了兜兜转转后的平淡是场浪漫，却发现爱情暗淡的太快说散就散来不及判断。 ryan.b的演唱带有魔力，那种和词曲的契合感，仿佛一瞬间给人拉入构架的情景中。英子的音色又如穿插在指间的烟圈，浓郁的留下缓慢的消散。,14802,2018年4月9日
1079569616,290935979,成都市帅DP你猪哥,没有任何理由 就是干,13961,2018年4月9日
1079531305,280793052,JKLEE_,理由 理由 理由 理由再多理由 无法挽留爱情 爱情 爱情 爱情再多理由 说停就停Ryan.B一直谱写着动人的歌曲💥💯🔥,11169,2018年4月9日
1079565949,104162565,老南不高兴,我没有理由不听这首歌,10863,2018年4月9日
